seriesId,seriesDescription,unit
OBINGEN_US,"Industrial sector net generation from other nonrenewable fuels, United States",billion kilowatthours
OGINGEN_US,"Industrial sector net generation from other fossil gases, United States",billion kilowatthours
PAINGEN_US,"Industrial sector net generation from petroleum, United States",billion kilowatthours
RNINGEN_US,"Industrial sector net generation from renewables excluding hydropower, United States",billion kilowatthours
SOINGEN_US,"Industrial sector net generation from utility-scale solar, United States",billion kilowatthours
TOINGEN_US,"Total industrial sector net generation by all energy sources, United States",billion kilowatthours
WNINGEN_US,"Industrial sector net generation from wind, United States",billion kilowatthours
NGINGEN_US,"Industrial sector net generation from natural gas, United States",billion kilowatthours
BMTOGEN_US,"Net generation from biomass, all sectors, United States",billion kilowatthours
GETOGEN_US,"Net generation from geothermal, all sectors, United States",billion kilowatthours
HPTOGEN_US,"Net generation from pumped storage hydropower, all sectors, United States",billion kilowatthours
HVTOGEN_US,"Net generation from conventional hydropower, all sectors, United States",billion kilowatthours
NGTOGEN_US,"Net generation from natural gas, all sectors, United States",billion kilowatthours
NUTOGEN_US,"Net generation from nuclear, all sectors, United States",billion kilowatthours
OBTOGEN_US,"Net generation from other nonrenewable fuels, all sectors, United States",billion kilowatthours
OGTOGEN_US,"Net generation from other fossil gases, all sectors, United States",billion kilowatthours
PATOGEN_US,"Net generation from petroleum, all sectors, United States",billion kilowatthours
CLTOGEN_US,"Net generation from coal, all sectors, United States",billion kilowatthours
HVINGEN_US,"Industrial sector net generation from conventional hydropower, United States",billion kilowatthours
HPINGEN_US,"Industrial sector net generation from pumped storage hydropower, United States",billion kilowatthours
GEINGEN_US,"Industrial sector net generation from geothermal, United States",billion kilowatthours
PACMGEN_US,"Commercial sector net generation from petroleum, United States",billion kilowatthours
RNCMGEN_US,"Commercial sector net generation from renewables excluding hydropower, United States",billion kilowatthours
SOCMGEN_US,"Commercial sector net generation from utility-scale solar, United States",billion kilowatthours
TOCMGEN_US,"Total commercial sector net generation by all energy sources, United States",billion kilowatthours
WNCMGEN_US,"Commercial sector net generation from wind, United States",billion kilowatthours
OBEPGEN_CA,"Electric power sector  net generation from other nonrenewable fuels, California",billion kilowatthours
OBEPGEN_FL,"Electric power sector  net generation from other nonrenewable fuels, Florida (FRCC)",billion kilowatthours
OBEPGEN_HA,"Electric power sector  net generation from other nonrenewable fuels, Hawaii and Alaska",billion kilowatthours
OBEPGEN_MW,"Electric power sector  net generation from other nonrenewable fuels, Midwest (Midcontinent ISO)",billion kilowatthours
OBEPGEN_NE,"Electric power sector  net generation from other nonrenewable fuels, New England (ISO-NE)",billion kilowatthours
OBEPGEN_NW,"Electric power sector  net generation from other nonrenewable fuels, Northwest",billion kilowatthours
OBEPGEN_NY,"Electric power sector  net generation from other nonrenewable fuels, New York (NYISO)",billion kilowatthours
OBEPGEN_PJ,"Electric power sector  net generation from other nonrenewable fuels, Mid-Atlantic (PJM)",billion kilowatthours
OBEPGEN_SE,"Electric power sector  net generation from other nonrenewable fuels, Southeast (SERC)",billion kilowatthours
OBEPGEN_SP,"Electric power sector  net generation from other nonrenewable fuels, Central (SPP ISO)",billion kilowatthours
OBEPGEN_SW,"Electric power sector  net generation from other nonrenewable fuels, Southwest",billion kilowatthours
OBEPGEN_TX,"Electric power sector  net generation from other nonrenewable fuels, Texas (ERCOT)",billion kilowatthours
BMINGEN_US,"Industrial sector net generation from biomass, United States",billion kilowatthours
CLINGEN_US,"Industrial sector net generation from coal, United States",billion kilowatthours
RNTOGEN_US,"Net generation from renewables excluding hydropower, all sectors, United States",billion kilowatthours
SOTOGEN_US,"Net generation from utility-scale solar, all sectors, United States",billion kilowatthours
TOTOGEN_US,"Total net generation by all energy sources, all sectors, United States",billion kilowatthours
WNTOGEN_US,"Net generation from wind, all sectors, United States",billion kilowatthours
COPR_BX,"Crude Oil Production, Brunei",million barrels per day
COPR_SU,"Crude Oil Production, Sudan",million barrels per day
PAPR_BA,"Crude Oil and Liquid Fuels Supply, Bahrain",million barrels per day
PAPR_BX,"Crude Oil and Liquid Fuels Supply, Brunei",million barrels per day
COPR_AJ,"Crude Oil Production, Azerbaijan",million barrels per day
COPR_KZ,"Crude Oil Production, Kazakhstan",million barrels per day
COPR_MY,"Crude Oil Production, Malaysia",million barrels per day
COPR_MX,"Crude Oil Production, Mexico",million barrels per day
COPR_MU,"Crude Oil Production, Oman",million barrels per day
COPR_RS,"Crude Oil Production, Russia",million barrels per day
COPR_OD,"Crude Oil Production, South Sudan",million barrels per day
COPR_OPECPLUS_OPEC,OPEC members subject to OPEC+ agreements,million barrels per day
COPR_OPECPLUS_OTHER,OPEC+ Other Participants Total,million barrels per day
PAPR_OPECPLUS_OTHER,OPEC+ liquids from Other OPEC+ participants,million barrels per day
COPR_NONOPECPLUS_XUS,Non-OPEC+ exluding United States Crude Oil Production,million barrels per day
