seriesId,seriesDescription,unit
PAPR_GY,"Crude Oil and Liquid Fuels Supply, Guyana",million barrels per day
XXEPGEN_SW,"Electric power sector net generation from other energy sources, Southwest",billion kilowatthours
PAPR_OTHER_NONOECD,Other Non-OECD Petroleum Production,million barrels per day
EXRCP_ENC,"Retail Sales of Electricity in Residential Sector, East North Central",million kilowatthours per day
ELNIPUS,Net Imports of Electricity to the United States,billion kilowatthours per day
EXACP_MTN,"Retail Sales of Electricity in Transportation Sector, Mountain",million kilowatthours per day
EXACP_NEC,"Retail Sales of Electricity in Transportation Sector, New England",million kilowatthours per day
EMCMPUS,Commercial Employment,millions
EMCMPUS_PCT,Commercial Employment,percent change from prior year
ESICU_WSC,"Retail Price of Electricity in Industrial Sector, West South Central",cents per kilowatt hour
ELNITWH,Net International Imports of Electricity into United States,billion kilowatthours
ELRCP_ENC,"Retail Sales of Electricity in Residential Sector, East North Central",billion kilowatthours
ESTCU_ENC,"Retail Price of Electricity for All Sectors, East North Central",cents per kilowatt hour
EXICP_WNC,"Retail Sales of Electricity in Industrial Sector, West North Central",million kilowatthours per day
ESICUUS,"Retail Price of Electricity in Industrial Sector, U.S. Average",cents per kilowatthour
EOPRPUS,Fuel Ethanol Production,million barrels per day
EOPSPUS,Fuel Ethanol Inventory,"million barrels, end-of-period"
EXACPUS,"Retail Sales of Electricity in Transportation Sector, U.S. Total",billion kilowatthours per day
EXCCP_ENC,"Retail Sales of Electricity in Commercial Sector, East North Central",million kilowatthours per day
EXICP_WSC,"Retail Sales of Electricity in Industrial Sector, West South Central",million kilowatthours per day
ELWHU_NW,"Wholesale Electricity Price, Northwest index, Mid-Columbia hub",dollars per megawatthour
EXRCH_NEC,"Average Residential Electricity Usage Per Customer, New England",kilowatthours
EXRCH_WSC,"Average Residential Electricity Usage Per Customer, West South Central",kilowatthours
EORIPUS,Fuel Ethanol Refinery and Blender Net Inputs,million barrels per day
ELWHU_TX,"Wholesale Electricity Price, ERCOT (Texas) ISO North hub",dollars per megawatthour
EXACP_MAC,"Retail Sales of Electricity in Transportation Sector, Middle Atlantic",million kilowatthours per day
EXRCH_HAK,"Average Residential Electricity Usage Per Customer, Hawaii and Alaska",kilowatthours
EXRCH_MAC,"Average Residential Electricity Usage Per Customer, Middle Atlantic",kilowatthours
EONIPUS,Fuel Ethanol Net Imports,million barrels per day
EOPRBUS,Ethanol Energy Supply,Quadrillion Btu
EXACP_WSC,"Retail Sales of Electricity in Transportation Sector, West South Central",million kilowatthours per day
ELRCP_MTN,"Retail Sales of Electricity in Residential Sector, Mountain",billion kilowatthours
HVTOGEN_US,"Net generation from conventional hydropower, all sectors, United States",billion kilowatthours
EXRCH_MTN,"Average Residential Electricity Usage Per Customer, Mountain",kilowatthours
ELLOAD_NE,"Net energy for electricity load, New England (ISO-NE)",billion kilowatthours
ESRCU_MAC,"Retail Price of Electricity in Residential Sector, Middle Atlantic",cents per kilowatt hour
ELRCP_NEC,"Retail Sales of Electricity in Residential Sector, New England",billion kilowatthours
EXTCP_HAK,"Retail Sales of Electricity in All Sectors, Alaska and Hawaii",million kilowatthours per day
EXTCP_MAC,"Retail Sales of Electricity in All Sectors, Middle Atlantic",million kilowatthours per day
ELLOAD_NW,"Net energy for electricity load, Northwest",billion kilowatthours
ESRCU_MTN,"Retail Price of Electricity in Residential Sector, Mountain",cents per kilowatt hour
ELRCP_PAC,"Retail Sales of Electricity in Residential Sector, Pacific Contiguous",billion kilowatthours
EPEOPUS,Electric Power Sector Total Generation,billion kilowatthours per day
EPEOTWH,"Total Net Generation of Electricity from Large-Scale Power Plants, Electric Power Sector, United States",billion kilowatthours
EXTCP_MTN,"Retail Sales of Electricity in All Sectors, Mountain",million kilowatthours per day
ELLOAD_NY,"Net energy for electricity load, New York (NYISO)",billion kilowatthours
HVEPGEN_US,"Electric power sector net generation from conventional hydropower, United States",billion kilowatthours
ESRCU_NEC,"Retail Price of Electricity in Residential Sector, New England",cents per kilowatt hour
ELWHU_NY,"Wholesale Electricity Price, NYISO (New York ISO) Hudson Valley zone",dollars per megawatthour
ESTCU_HAK,"Retail Price of Electricity for All Sectors, Alaska and Hawaii",cents per kilowatt hour
ESTCU_MAC,"Retail Price of Electricity for All Sectors, Middle Atlantic",cents per kilowatt hour
ELLOAD_FL,"Net energy for electricity load, Florida (FRCC)",billion kilowatthours
EOFPPUS,Fuel Ethanol Adjustments,million barrels per day
ESRCU_ENC,"Retail Price of Electricity in Residential Sector, East North Central",cents per kilowatt hour
ESRCU_ESC,"Retail Price of Electricity in Residential Sector, East South Central",cents per kilowatt hour
PAPR_AR,"Crude Oil and Liquid Fuels Supply, Argentina",million barrels per day
PAPR_AS,"Crude Oil and Liquid Fuels Supply, Australia",million barrels per day
ZWCDPUS_PCT,Cooling Degree Days U.S. Average,Percent change from prior year
COPC_CF,Congo (Brazzaville) Crude Oil Production Capacity,million barres per day
ZO327IUS,"Stone, Clay, Glass, and Concrete Products Production Index","Index, 2017=100 (seasonally adjusted)"
PAPR_NONOPECPLUS_XUS,Non-OPEC Liquids Petroleum Production from non-OPEC+ excluding the US,million barrels per day
PAPR_AG,"Crude Oil and Liquid Fuels Supply, Algeria",million barrels per day
XXEPGEN_SE,"Electric power sector net generation from other energy sources, Southeast (SERC)",billion kilowatthours
XXEPGEN_SP,"Electric power sector net generation from other energy sources, Central (SPP ISO)",billion kilowatthours
